 165271|Someter Penalty Interest con el rol EJECUTIVO DE NEGOCIOS VIRTUAL (caso negativo).|BANCA DE PERSONAS|Actividades
 165272|Someter Schedule con el rol EJECUTIVO DE NEGOCIOS VIRTUAL (caso negativo).|BANCA DE PERSONAS|Actividades
 165274|Someter reversar pago con el rol EJECUTIVO DE NEGOCIOS VIRTUAL ( caso negativo).|BANCA DE PERSONAS|Actividades
 165275|Someter Request Payment Holidays con el rol de EJECUTIVO DE NEGOCIOS VIRTUAL ( Caso negativo)|BANCA DE PERSONAS|Actividades
 165277|Modificar límite con el rol EJECUTIVO DE NEGOCIOS VIRTUAL (caso negativo).|BANCA DE PERSONAS|Actividades
 165281|Consultar que el rol EJECUTIVO DE NEGOCIOS VIRTUAL pueda realizar consultas de limites.|BANCA DE PERSONAS|Actividades
 166630|Realizar consulta de préstamos con el rol GERENTE DE NEGOCIOS VIRTUAL BANCA PERSONA Y NEGOCIOS.|BANCA DE PERSONAS|Actividades
 166632|Consultar que el rol GERENTE DE NEGOCIOS VIRTUAL BANCA PERSONA Y NEGOCIOS tenga acceso a simulaciones del prestamo.|BANCA DE PERSONAS|Actividades
 166638|Someter Request Payoff con New Activity para Cancelación de préstamo en vista 360 con el rol GERENTE DE NEGOCIOS VIRTUAL BANCA PERSONA Y NEGOCIOS|BANCA DE PERSONAS|Actividades
 166639|Realizar pago de una cuota de prestamos con el rol EJECUTIVO DE NEGOCIOS VIRTUAL.|BANCA DE PERSONAS|Actividades
 166640|Pagar cuota adelantada de un préstamo con el rol GERENTE DE NEGOCIOS VIRTUAL BANCA PERSONA Y NEGOCIOS|BANCA DE PERSONAS|Actividades
 166642|Realizar un abono a capital con reduccion de cuota de préstamo con el rol GERENTE DE NEGOCIOS VIRTUAL BANCA PERSONA Y NEGOCIOS|BANCA DE PERSONAS|Actividades
 166644|Realizar abono a capital con reduccion de tiempo de préstamo con el rol GERENTE DE NEGOCIOS VIRTUAL BANCA PERSONA Y NEGOCIOS|BANCA DE PERSONAS|Actividades
 166646|Someter Commitment con rol GERENTE DE NEGOCIOS VIRTUAL BANCA PERSONA Y NEGOCIOS (caso negativo)|BANCA DE PERSONAS|Actividades
 166647|Someter Penalty Interest con el rol GERENTE DE NEGOCIOS VIRTUAL BANCA PERSONA Y NEGOCIOS (caso negativo).|BANCA DE PERSONAS|Actividades
 166649|Someter Schedule con el rol GERENTE DE NEGOCIOS VIRTUAL BANCA PERSONA Y NEGOCIOS (caso negativo).|BANCA DE PERSONAS|Actividades
 166650|Someter reversar pago con el rol GERENTE DE NEGOCIOS VIRTUAL BANCA PERSONA Y NEGOCIOS ( caso negativo)|BANCA DE PERSONAS|Actividades
 166656|Someter Request Payment Holidays con el rol de GERENTE DE NEGOCIOS VIRTUAL BANCA PERSONA Y NEGOCIOS ( Caso negativo)|BANCA DE PERSONAS|Actividades
 166659|Consultar que el rol GERENTE DE NEGOCIOS VIRTUAL BANCA PERSONA Y NEGOCIOS pueda realizar consultas de limites.|BANCA DE PERSONAS|Actividades
 166661|Modificar límite con el rol GERENTE DE NEGOCIOS VIRTUAL BANCA PERSONA Y NEGOCIOS (caso negativo).|BANCA DE PERSONAS|Actividades
